period_id,project_id,planned_progress_pct,actual_progress_pct,planned_value,earned_value_schedule,planned_milestones,completed_milestones,overdue_milestones,forecast_finish_date,schedule_variance_pct,spi,milestone_completion_pct,schedule_delay_days,delivery_risk_flag
202509,39,100,100,16483000,16790000,20,20,0,2025-07-18,0,1.019,100.0,0,Low
202510,39,100,100,16483000,16683000,20,20,0,2025-07-18,0,1.012,100.0,0,Low
202511,39,100,99.9,16483000,16463000,20,20,0,2025-07-18,-0.12,0.999,100.0,0,Low
202512,39,100,100,16483000,16708000,20,20,0,2025-07-18,0,1.014,100.0,0,Low
202601,39,100,100,16483000,16533000,20,20,0,2025-07-18,0,1.003,100.0,0,Low
202602,39,100,100,16483000,16513000,20,20,0,2025-07-18,0,1.002,100.0,0,Low
202603,39,100,99.1,16483000,16337000,20,20,0,2025-07-19,-0.88,0.991,100.0,1,Low
202604,39,100,100,16483000,17069000,20,20,0,2025-07-18,0,1.036,100.0,0,Low
202605,39,100,100,16483000,16881000,20,20,0,2025-07-18,0,1.024,100.0,0,Low
202606,39,100,99.3,16483000,16368000,20,20,0,2025-07-19,-0.7,0.993,100.0,1,Low
202607,39,100,100,16483000,16616000,20,20,0,2025-07-18,0,1.008,100.0,0,Low
202608,39,100,100,16483000,16928000,20,20,0,2025-07-18,0,1.027,100.0,0,Low
202609,39,100,100,16483000,16841000,20,20,0,2025-07-18,0,1.022,100.0,0,Low
202610,39,100,100,16483000,16507000,20,20,0,2025-07-18,0,1.001,100.0,0,Low
202611,39,100,100,16483000,16500000,20,20,0,2025-07-18,0,1.001,100.0,0,Low
202612,39,100,100,16483000,16818000,20,20,0,2025-07-18,0,1.02,100.0,0,Low
202501,40,37.4,36.6,1896000,1856000,7,7,0,2026-08-02,-0.79,0.979,100.0,8,Low
202502,40,40.7,39.6,2061000,2005000,8,8,0,2026-08-04,-1.1,0.973,100.0,10,Low
202503,40,44.3,43.8,2243000,2220000,9,9,0,2026-07-28,-0.45,0.99,100.0,3,Low
202504,40,47.7,47.0,2419000,2379000,10,10,0,2026-07-31,-0.79,0.984,100.0,6,Low
202505,40,51.3,48.5,2601000,2455000,10,9,1,2026-08-15,-2.87,0.944,90.0,21,Low
202506,40,54.8,53.4,2777000,2704000,11,11,0,2026-08-04,-1.44,0.974,100.0,10,Low
202507,40,58.4,57.4,2959000,2911000,12,12,0,2026-07-31,-0.96,0.984,100.0,6,Low
202508,40,62.0,60.7,3141000,3075000,12,12,0,2026-08-02,-1.31,0.979,100.0,8,Low
202509,40,65.5,62.6,3317000,3173000,13,12,1,2026-08-10,-2.85,0.957,92.3,16,Low
202510,40,69.1,68.0,3499000,3445000,14,14,0,2026-07-31,-1.08,0.984,100.0,6,Low
202511,40,72.5,69.2,3675000,3507000,15,14,1,2026-08-11,-3.32,0.954,93.3,17,Low
202512,40,76.1,72.5,3857000,3672000,15,14,1,2026-08-12,-3.66,0.952,93.3,18,Low
202601,40,79.7,75.7,4040000,3835000,16,15,1,2026-08-13,-4.03,0.949,93.8,19,Low
202602,40,83.0,80.7,4204000,4091000,17,17,0,2026-08-04,-2.22,0.973,100.0,10,Low
202603,40,86.6,84.7,4386000,4292000,17,17,0,2026-08-02,-1.85,0.979,100.0,8,Low
202604,40,90.0,85.5,4562000,4331000,18,17,1,2026-08-13,-4.57,0.949,94.4,19,Low
202605,40,93.6,88.5,4744000,4487000,19,18,1,2026-08-15,-5.08,0.946,94.7,21,Low
202606,40,97.1,92.9,4920000,4708000,19,18,1,2026-08-10,-4.19,0.957,94.7,16,Low
202607,40,100,95.6,5067000,4843000,20,19,1,2026-08-11,-4.43,0.956,95.0,17,Low
202608,40,100,99.1,5067000,5020000,20,20,0,2026-07-28,-0.92,0.991,100.0,3,Low
202609,40,100,98.3,5067000,4982000,20,20,0,2026-07-31,-1.68,0.983,100.0,6,Low
202610,40,100,96.5,5067000,4891000,20,19,1,2026-08-07,-3.48,0.965,95.0,13,Low
202611,40,100,97.0,5067000,4917000,20,19,1,2026-08-05,-2.96,0.97,95.0,11,Low
202612,40,100,94.4,5067000,4781000,20,19,1,2026-08-15,-5.64,0.944,95.0,21,Low
202501,41,17.1,17.6,867000,890000,3,3,0,2026-12-26,0.47,1.027,100.0,0,Low
202502,41,20.4,20.9,1036000,1061000,4,4,0,2026-12-26,0.49,1.024,100.0,0,Low
202503,41,24.1,24.2,1224000,1226000,5,5,0,2026-12-26,0.05,1.002,100.0,0,Low
202504,41,27.7,27.7,1406000,1406000,6,6,0,2026-12-26,-0.0,1.0,100.0,0,Low
202505,41,31.4,31.6,1594000,1601000,6,6,0,2026-12-26,0.14,1.005,100.0,0,Low
202506,41,35.0,35.5,1776000,1800000,7,7,0,2026-12-26,0.48,1.014,100.0,0,Low
202507,41,38.7,38.7,1963000,1962000,8,8,0,2026-12-26,-0.02,1.0,100.0,0,Low
202508,41,42.4,42.2,2151000,2139000,8,8,0,2026-12-28,-0.25,0.994,100.0,2,Low
202509,41,46.0,47.4,2333000,2405000,9,9,0,2026-12-26,1.42,1.031,100.0,0,Low
202510,41,49.7,49.7,2521000,2522000,10,10,0,2026-12-26,0.02,1.0,100.0,0,Low
202511,41,53.3,53.4,2703000,2709000,11,11,0,2026-12-26,0.12,1.002,100.0,0,Low
202512,41,57.0,56.2,2890000,2851000,11,11,0,2026-12-31,-0.78,0.986,100.0,5,Low
202601,41,60.7,62.0,3078000,3146000,12,12,0,2026-12-26,1.34,1.022,100.0,0,Low
202602,41,64.0,65.0,3248000,3296000,13,13,0,2026-12-26,0.95,1.015,100.0,0,Low
202603,41,67.7,68.7,3436000,3484000,14,14,0,2026-12-26,0.96,1.014,100.0,0,Low
202604,41,71.3,71.6,3618000,3631000,14,14,0,2026-12-26,0.27,1.004,100.0,0,Low
202605,41,75.0,74.6,3806000,3784000,15,15,0,2026-12-28,-0.42,0.994,100.0,2,Low
202606,41,78.6,77.0,3987000,3907000,16,16,0,2027-01-02,-1.58,0.98,100.0,7,Low
202607,41,82.3,82.0,4175000,4158000,16,16,0,2026-12-27,-0.34,0.996,100.0,1,Low
202608,41,86.0,86.1,4363000,4366000,17,17,0,2026-12-26,0.05,1.001,100.0,0,Low
202609,41,89.6,92.4,4545000,4685000,18,18,0,2026-12-26,2.76,1.031,100.0,0,Low
202610,41,93.3,92.2,4733000,4677000,19,19,0,2026-12-30,-1.1,0.988,100.0,4,Low
202611,41,96.9,97.2,4914000,4931000,19,19,0,2026-12-26,0.33,1.003,100.0,0,Low
202612,41,100,100,5072000,5096000,20,20,0,2026-12-26,0,1.005,100.0,0,Low
202501,42,0,0,0,0,1,1,0,2028-07-05,0,1.003,100.0,0,Low
202502,42,0,0,0,0,1,1,0,2028-07-05,0,1.007,100.0,0,Low
202503,42,0,0,0,0,1,1,0,2028-07-10,0,0.986,100.0,5,Low
202504,42,0,0,0,0,1,1,0,2028-07-05,0,1.015,100.0,0,Low
202505,42,0,0,0,0,1,1,0,2028-07-05,0,1.0,100.0,0,Low
202506,42,0,0,0,0,1,1,0,2028-07-05,0,1.026,100.0,0,Low
202507,42,0,0,0,0,1,1,0,2028-07-05,0,0.999,100.0,0,Low
202508,42,0,0,0,0,1,1,0,2028-07-09,0,0.989,100.0,4,Low
202509,42,0,0,0,0,1,1,0,2028-07-05,0,1.01,100.0,0,Low
202510,42,0,0,0,0,1,1,0,2028-07-09,0,0.988,100.0,4,Low
202511,42,0,0,0,0,1,1,0,2028-07-09,0,0.988,100.0,4,Low
202512,42,0,0,0,0,1,1,0,2028-07-09,0,0.987,100.0,4,Low
202601,42,0,0,0,0,1,1,0,2028-07-05,0,1.005,100.0,0,Low
202602,42,2.8,2.8,14000,14000,1,1,0,2028-07-11,-0.05,0.984,100.0,6,Low
202603,42,6.3,6.2,32000,31000,1,1,0,2028-07-12,-0.12,0.981,100.0,7,Low
202604,42,9.7,9.5,49000,47000,2,2,0,2028-07-14,-0.24,0.975,100.0,9,Low
202605,42,13.3,12.9,66000,64000,3,3,0,2028-07-16,-0.39,0.97,100.0,11,Low
202606,42,16.6,16.8,83000,84000,3,3,0,2028-07-05,0.2,1.012,100.0,0,Low
202607,42,20.2,20.1,101000,101000,4,4,0,2028-07-06,-0.06,0.997,100.0,1,Low
202608,42,23.7,23.3,118000,116000,5,5,0,2028-07-11,-0.37,0.984,100.0,6,Low
202609,42,27.1,27.1,135000,136000,5,5,0,2028-07-05,0.05,1.002,100.0,0,Low
202610,42,30.6,30.7,153000,153000,6,6,0,2028-07-05,0.11,1.004,100.0,0,Low
202611,42,34.0,34.2,170000,171000,7,7,0,2028-07-05,0.24,1.007,100.0,0,Low
202612,42,37.5,37.0,187000,185000,7,7,0,2028-07-10,-0.47,0.987,100.0,5,Low
202501,43,51.1,51.9,9666000,9831000,10,10,0,2025-10-13,0.87,1.017,100.0,0,Low
202502,43,56.4,57.6,10684000,10900000,11,11,0,2025-10-13,1.14,1.02,100.0,0,Low
202503,43,62.4,64.7,11810000,12251000,12,12,0,2025-10-13,2.33,1.037,100.0,0,Low
202504,43,68.1,68.5,12901000,12978000,14,14,0,2025-10-13,0.41,1.006,100.0,0,Low
202505,43,74.1,75.4,14027000,14275000,15,15,0,2025-10-13,1.31,1.018,100.0,0,Low
202506,43,79.8,79.6,15117000,15080000,16,16,0,2025-10-13,-0.2,0.998,100.0,0,Low
202507,43,85.8,88.2,16244000,16701000,17,17,0,2025-10-13,2.42,1.028,100.0,0,Low
202508,43,91.7,94.7,17370000,17927000,18,18,0,2025-10-13,2.94,1.032,100.0,0,Low
202509,43,97.5,100,18461000,19159000,20,20,0,2025-10-13,2.5,1.038,100.0,0,Low
202510,43,100,100,18933000,19741000,20,20,0,2025-10-13,0,1.043,100.0,0,Low
202511,43,100,100,18933000,19781000,20,20,0,2025-10-13,0,1.045,100.0,0,Low
202512,43,100,100,18933000,19036000,20,20,0,2025-10-13,0,1.005,100.0,0,Low
202601,43,100,100,18933000,19027000,20,20,0,2025-10-13,0,1.005,100.0,0,Low
202602,43,100,100,18933000,19525000,20,20,0,2025-10-13,0,1.031,100.0,0,Low
202603,43,100,100.0,18933000,18927000,20,20,0,2025-10-13,-0.03,1.0,100.0,0,Low
202604,43,100,100,18933000,19275000,20,20,0,2025-10-13,0,1.018,100.0,0,Low
202605,43,100,100,18933000,19601000,20,20,0,2025-10-13,0,1.035,100.0,0,Low
202606,43,100,100,18933000,19537000,20,20,0,2025-10-13,0,1.032,100.0,0,Low
202607,43,100,100,18933000,19508000,20,20,0,2025-10-13,0,1.03,100.0,0,Low
202608,43,100,100,18933000,19046000,20,20,0,2025-10-13,0,1.006,100.0,0,Low
202609,43,100,100,18933000,19277000,20,20,0,2025-10-13,0,1.018,100.0,0,Low
202610,43,100,100,18933000,19414000,20,20,0,2025-10-13,0,1.025,100.0,0,Low
202611,43,100,100,18933000,19373000,20,20,0,2025-10-13,0,1.023,100.0,0,Low
202612,43,100,100,18933000,19018000,20,20,0,2025-10-13,0,1.005,100.0,0,Low
202501,44,49.6,36.0,6398000,4645000,10,7,3,2025-10-23,-13.6,0.726,70.0,52,High
202502,44,56.3,40.7,7251000,5244000,11,8,3,2025-10-23,-15.57,0.723,72.7,52,High
202503,44,63.6,43.7,8196000,5637000,13,9,4,2025-10-30,-19.85,0.688,69.2,59,High
202504,44,70.7,47.3,9110000,6099000,14,9,5,2025-11-02,-23.37,0.669,64.3,62,High
202505,44,78.0,54.2,10054000,6983000,16,11,5,2025-10-29,-23.83,0.695,68.8,58,High
202506,44,85.1,59.0,10969000,7602000,17,12,5,2025-10-29,-26.12,0.693,70.6,58,High
202507,44,92.4,65.0,11913000,8375000,18,13,5,2025-10-27,-27.45,0.703,72.2,56,High
202508,44,99.8,67.9,12858000,8748000,20,14,6,2025-10-31,-31.89,0.68,70.0,60,High
202509,44,100,70.2,12888000,9042000,20,14,6,2025-10-27,-29.84,0.702,70.0,56,High
202510,44,100,69.9,12888000,9011000,20,14,6,2025-10-28,-30.08,0.699,70.0,57,High
202511,44,100,66.6,12888000,8578000,20,13,7,2025-11-03,-33.44,0.666,65.0,63,High
202512,44,100,69.1,12888000,8907000,20,14,6,2025-10-29,-30.89,0.691,70.0,58,High
202601,44,100,68.2,12888000,8786000,20,14,6,2025-10-31,-31.82,0.682,70.0,60,High
202602,44,100,65.1,12888000,8392000,20,13,7,2025-11-06,-34.89,0.651,65.0,66,High
202603,44,100,66.9,12888000,8618000,20,13,7,2025-11-03,-33.13,0.669,65.0,63,High
202604,44,100,63.9,12888000,8242000,20,13,7,2025-11-08,-36.05,0.639,65.0,68,High
202605,44,100,63.8,12888000,8222000,20,13,7,2025-11-08,-36.2,0.638,65.0,68,High
202606,44,100,62.6,12888000,8062000,20,13,7,2025-11-11,-37.44,0.626,65.0,71,High
202607,44,100,66.7,12888000,8591000,20,13,7,2025-11-03,-33.34,0.667,65.0,63,High
202608,44,100,65.5,12888000,8440000,20,13,7,2025-11-05,-34.52,0.655,65.0,65,High
202609,44,100,62.7,12888000,8078000,20,13,7,2025-11-11,-37.32,0.627,65.0,71,High
202610,44,100,65.8,12888000,8476000,20,13,7,2025-11-05,-34.23,0.658,65.0,65,High
202611,44,100,62.6,12888000,8065000,20,13,7,2025-11-11,-37.42,0.626,65.0,71,High
202612,44,100,62.0,12888000,7991000,20,12,8,2025-11-12,-38.0,0.62,60.0,72,High
202501,45,1.4,1.1,118000,92000,1,1,0,2027-03-16,-0.3,0.785,100.0,69,High
202502,45,5.3,4.1,448000,347000,1,1,0,2027-03-19,-1.2,0.775,100.0,72,High
202503,45,9.7,7.2,813000,609000,2,1,1,2027-03-28,-2.43,0.748,50.0,81,High
202504,45,13.8,10.6,1167000,895000,3,2,1,2027-03-22,-3.23,0.767,66.7,75,High
202505,45,18.2,13.4,1532000,1127000,4,3,1,2027-04-01,-4.81,0.735,75.0,85,High
202506,45,22.4,16.6,1886000,1402000,4,3,1,2027-03-29,-5.74,0.744,75.0,82,High
202507,45,26.7,19.8,2251000,1672000,5,4,1,2027-03-29,-6.88,0.743,80.0,82,High
202508,45,31.0,22.4,2616000,1886000,6,4,2,2027-04-05,-8.67,0.721,66.7,89,High
202509,45,35.2,26.4,2970000,2227000,7,5,2,2027-03-27,-8.82,0.75,71.4,80,High
202510,45,39.6,28.9,3335000,2438000,8,6,2,2027-04-02,-10.65,0.731,75.0,86,High
202511,45,43.8,32.7,3689000,2752000,9,7,2,2027-03-28,-11.12,0.746,77.8,81,High
202512,45,48.1,35.5,4054000,2995000,10,7,3,2027-03-31,-12.57,0.739,70.0,84,High
202601,45,52.4,37.4,4420000,3149000,10,7,3,2027-04-08,-15.08,0.712,70.0,92,High
202602,45,56.4,41.0,4750000,3457000,11,8,3,2027-04-03,-15.35,0.728,72.7,87,High
202603,45,60.7,42.2,5115000,3552000,12,8,4,2027-04-14,-18.55,0.694,66.7,98,High
202604,45,64.9,44.9,5469000,3785000,13,9,4,2027-04-15,-19.98,0.692,69.2,99,High
202605,45,69.2,49.0,5834000,4133000,14,10,4,2027-04-09,-20.19,0.708,71.4,93,High
202606,45,73.4,52.3,6188000,4410000,15,11,4,2027-04-08,-21.09,0.713,73.3,92,High
202607,45,77.8,55.0,6553000,4631000,16,11,5,2027-04-10,-22.81,0.707,68.8,94,High
202608,45,82.1,58.3,6918000,4911000,16,11,5,2027-04-09,-23.82,0.71,68.8,93,High
202609,45,86.3,61.1,7272000,5147000,17,12,5,2027-04-10,-25.22,0.708,70.6,94,High
202610,45,90.6,63.6,7637000,5361000,18,13,5,2027-04-11,-27.01,0.702,72.2,95,High
202611,45,94.8,64.1,7991000,5404000,19,13,6,2027-04-20,-30.7,0.676,68.4,104,High
202612,45,99.2,68.6,8356000,5782000,20,14,6,2027-04-15,-30.55,0.692,70.0,99,High
202501,46,0,0,0,0,1,1,0,2027-05-06,0,1.056,100.0,0,Low
202502,46,0,0,0,0,1,1,0,2027-05-06,0,1.003,100.0,0,Low
202503,46,0,0,0,0,1,1,0,2027-05-06,0,1.035,100.0,0,Low
202504,46,1.7,1.7,58000,59000,1,1,0,2027-05-06,0.01,1.005,100.0,0,Low
202505,46,5.9,6.1,198000,206000,1,1,0,2027-05-06,0.25,1.043,100.0,0,Low
202506,46,9.9,10.4,333000,349000,2,2,0,2027-05-06,0.49,1.049,100.0,0,Low
202507,46,14.0,14.2,472000,478000,3,3,0,2027-05-06,0.17,1.012,100.0,0,Low
202508,46,18.2,18.3,612000,616000,4,4,0,2027-05-06,0.14,1.008,100.0,0,Low
202509,46,22.2,22.4,747000,754000,4,4,0,2027-05-06,0.21,1.009,100.0,0,Low
202510,46,26.3,26.7,886000,899000,5,5,0,2027-05-06,0.39,1.015,100.0,0,Low
202511,46,30.3,30.9,1021000,1041000,6,6,0,2027-05-06,0.58,1.019,100.0,0,Low
202512,46,34.4,35.3,1160000,1189000,7,7,0,2027-05-06,0.84,1.024,100.0,0,Low
202601,46,38.6,40.1,1300000,1351000,8,8,0,2027-05-06,1.52,1.039,100.0,0,Low
202602,46,42.3,43.1,1426000,1452000,8,8,0,2027-05-06,0.76,1.018,100.0,0,Low
202603,46,46.5,48.4,1565000,1631000,9,9,0,2027-05-06,1.96,1.042,100.0,0,Low
202604,46,50.5,52.3,1700000,1764000,10,10,0,2027-05-06,1.88,1.037,100.0,0,Low
202605,46,54.6,55.5,1840000,1869000,11,11,0,2027-05-06,0.88,1.016,100.0,0,Low
202606,46,58.6,59.9,1975000,2016000,12,12,0,2027-05-06,1.24,1.021,100.0,0,Low
202607,46,62.8,64.9,2114000,2188000,13,13,0,2027-05-06,2.18,1.035,100.0,0,Low
202608,46,66.9,68.6,2253000,2312000,13,13,0,2027-05-06,1.75,1.026,100.0,0,Low
202609,46,70.9,74.3,2388000,2502000,14,14,0,2027-05-06,3.37,1.047,100.0,0,Low
202610,46,75.0,76.7,2528000,2583000,15,15,0,2027-05-06,1.63,1.022,100.0,0,Low
202611,46,79.0,80.8,2663000,2722000,16,16,0,2027-05-06,1.74,1.022,100.0,0,Low
202612,46,83.2,87.2,2802000,2937000,17,17,0,2027-05-06,4.01,1.048,100.0,0,Low
202501,47,0,0,0,0,1,1,0,2026-05-14,0,1.022,100.0,0,Low
202502,47,0,0,0,0,1,1,0,2026-05-14,0,1.006,100.0,0,Low
202503,47,0,0,0,0,1,1,0,2026-05-17,0,0.973,100.0,3,Low
202504,47,0,0,0,0,1,1,0,2026-05-16,0,0.981,100.0,2,Low
202505,47,0,0,0,0,1,1,0,2026-05-15,0,0.989,100.0,1,Low
202506,47,0,0,0,0,1,1,0,2026-05-14,0,1.018,100.0,0,Low
202507,47,1.7,1.7,24000,23000,1,1,0,2026-05-16,-0.04,0.977,100.0,2,Low
202508,47,12.3,12.2,172000,171000,2,2,0,2026-05-14,-0.09,0.993,100.0,0,Low
202509,47,22.6,22.7,315000,316000,5,5,0,2026-05-14,0.08,1.004,100.0,0,Low
202510,47,33.2,32.5,463000,452000,7,7,0,2026-05-16,-0.74,0.978,100.0,2,Low
202511,47,43.5,42.8,606000,596000,9,9,0,2026-05-16,-0.74,0.983,100.0,2,Low
202512,47,54.1,54.4,754000,758000,11,11,0,2026-05-14,0.28,1.005,100.0,0,Low
202601,47,64.7,63.8,902000,888000,13,13,0,2026-05-15,-0.96,0.985,100.0,1,Low
202602,47,74.3,74.9,1035000,1044000,15,15,0,2026-05-14,0.6,1.008,100.0,0,Low
202603,47,84.9,84.5,1183000,1176000,17,17,0,2026-05-14,-0.48,0.994,100.0,0,Low
202604,47,95.2,92.7,1326000,1291000,19,18,1,2026-05-17,-2.53,0.973,94.7,3,Low
202605,47,100,99.9,1393000,1391000,20,20,0,2026-05-14,-0.15,0.999,100.0,0,Low
202606,47,100,97.9,1393000,1363000,20,20,0,2026-05-16,-2.14,0.979,100.0,2,Low
202607,47,100,98.0,1393000,1365000,20,20,0,2026-05-16,-2.04,0.98,100.0,2,Low
202608,47,100,98.7,1393000,1375000,20,20,0,2026-05-15,-1.26,0.987,100.0,1,Low
202609,47,100,100,1393000,1414000,20,20,0,2026-05-14,0,1.015,100.0,0,Low
202610,47,100,98.2,1393000,1368000,20,20,0,2026-05-16,-1.8,0.982,100.0,2,Low
202611,47,100,97.6,1393000,1359000,20,20,0,2026-05-17,-2.42,0.976,100.0,3,Low
202612,47,100,100,1393000,1396000,20,20,0,2026-05-14,0,1.002,100.0,0,Low
202501,48,84.0,72.9,1124000,976000,17,15,2,2025-04-25,-11.04,0.869,88.2,22,Medium
202502,48,91.2,78.7,1220000,1053000,18,16,2,2025-04-26,-12.49,0.863,88.9,23,Medium
202503,48,99.2,87.4,1328000,1169000,20,18,2,2025-04-23,-11.86,0.88,90.0,20,Medium
202504,48,100,84.6,1338000,1132000,20,17,3,2025-04-29,-15.41,0.846,85.0,26,Medium
202505,48,100,84.4,1338000,1130000,20,17,3,2025-04-30,-15.57,0.844,85.0,27,Medium
202506,48,100,84.8,1338000,1135000,20,17,3,2025-04-29,-15.19,0.848,85.0,26,Medium
202507,48,100,84.0,1338000,1124000,20,17,3,2025-04-30,-15.99,0.84,85.0,27,Medium
202508,48,100,85.8,1338000,1148000,20,17,3,2025-04-27,-14.21,0.858,85.0,24,Medium
202509,48,100,85.2,1338000,1140000,20,17,3,2025-04-28,-14.82,0.852,85.0,25,Medium
202510,48,100,86.1,1338000,1152000,20,17,3,2025-04-27,-13.86,0.861,85.0,24,Medium
202511,48,100,84.6,1338000,1132000,20,17,3,2025-04-29,-15.41,0.846,85.0,26,Medium
202512,48,100,84.4,1338000,1129000,20,17,3,2025-04-30,-15.63,0.844,85.0,27,Medium
202601,48,100,82.6,1338000,1106000,20,17,3,2025-05-03,-17.37,0.826,85.0,30,Medium
202602,48,100,79.7,1338000,1066000,20,16,4,2025-05-08,-20.34,0.797,80.0,35,High
202603,48,100,82.4,1338000,1102000,20,16,4,2025-05-03,-17.64,0.824,80.0,30,High
202604,48,100,80.6,1338000,1078000,20,16,4,2025-05-06,-19.42,0.806,80.0,33,High
202605,48,100,81.3,1338000,1088000,20,16,4,2025-05-05,-18.72,0.813,80.0,32,High
202606,48,100,81.9,1338000,1095000,20,16,4,2025-05-04,-18.13,0.819,80.0,31,High
202607,48,100,80.2,1338000,1073000,20,16,4,2025-05-07,-19.82,0.802,80.0,34,High
202608,48,100,78.8,1338000,1055000,20,16,4,2025-05-09,-21.18,0.788,80.0,36,High
202609,48,100,78.9,1338000,1055000,20,16,4,2025-05-09,-21.12,0.789,80.0,36,High
202610,48,100,80.7,1338000,1080000,20,16,4,2025-05-06,-19.27,0.807,80.0,33,High
202611,48,100,81.2,1338000,1087000,20,16,4,2025-05-05,-18.77,0.812,80.0,32,High
202612,48,100,78.8,1338000,1055000,20,16,4,2025-05-09,-21.17,0.788,80.0,36,High
202501,49,3.6,3.6,187000,187000,1,1,0,2026-07-27,0.0,1.0,100.0,0,Low
202502,49,8.5,8.6,449000,453000,2,2,0,2026-07-27,0.07,1.009,100.0,0,Low
202503,49,14.1,14.0,739000,735000,3,3,0,2026-07-28,-0.09,0.994,100.0,1,Low
202504,49,19.4,19.1,1020000,1007000,4,4,0,2026-07-30,-0.25,0.987,100.0,3,Low
202505,49,24.9,24.6,1310000,1292000,5,5,0,2026-07-30,-0.35,0.986,100.0,3,Low
202506,49,30.2,30.7,1591000,1617000,6,6,0,2026-07-27,0.5,1.016,100.0,0,Low
202507,49,35.8,36.8,1881000,1934000,7,7,0,2026-07-27,1.0,1.028,100.0,0,Low
202508,49,41.3,41.2,2171000,2166000,8,8,0,2026-07-27,-0.1,0.997,100.0,0,Low
202509,49,46.6,47.6,2452000,2506000,9,9,0,2026-07-27,1.03,1.022,100.0,0,Low
202510,49,52.1,53.1,2742000,2792000,10,10,0,2026-07-27,0.94,1.018,100.0,0,Low
202511,49,57.5,57.1,3023000,3003000,11,11,0,2026-07-28,-0.38,0.993,100.0,1,Low
202512,49,63.0,64.4,3313000,3389000,13,13,0,2026-07-27,1.44,1.023,100.0,0,Low
202601,49,68.5,68.6,3603000,3607000,14,14,0,2026-07-27,0.07,1.001,100.0,0,Low
202602,49,73.5,73.2,3865000,3850000,15,15,0,2026-07-27,-0.29,0.996,100.0,0,Low
202603,49,79.0,78.4,4156000,4126000,16,16,0,2026-07-28,-0.55,0.993,100.0,1,Low
202604,49,84.3,83.6,4436000,4396000,17,17,0,2026-07-29,-0.76,0.991,100.0,2,Low
202605,49,89.9,91.2,4727000,4797000,18,18,0,2026-07-27,1.33,1.015,100.0,0,Low
202606,49,95.2,98.0,5007000,5156000,19,19,0,2026-07-27,2.83,1.03,100.0,0,Low
202607,49,100,99.8,5260000,5251000,20,20,0,2026-07-27,-0.16,0.998,100.0,0,Low
202608,49,100,100,5260000,5311000,20,20,0,2026-07-27,0,1.01,100.0,0,Low
202609,49,100,100,5260000,5416000,20,20,0,2026-07-27,0,1.03,100.0,0,Low
202610,49,100,100,5260000,5408000,20,20,0,2026-07-27,0,1.028,100.0,0,Low
202611,49,100,100,5260000,5395000,20,20,0,2026-07-27,0,1.026,100.0,0,Low
202612,49,100,99.8,5260000,5250000,20,20,0,2026-07-27,-0.18,0.998,100.0,0,Low
202501,50,0,0,0,0,1,1,0,2026-08-04,0,0.996,100.0,0,Low
202502,50,0,0,0,0,1,1,0,2026-08-06,0,0.983,100.0,2,Low
202503,50,0,0,0,0,1,1,0,2026-08-04,0,1.002,100.0,0,Low
202504,50,0,0,0,0,1,1,0,2026-08-06,0,0.98,100.0,2,Low
202505,50,0,0,0,0,1,1,0,2026-08-04,0,1.015,100.0,0,Low
202506,50,0,0,0,0,1,1,0,2026-08-04,0,1.004,100.0,0,Low
202507,50,0,0,0,0,1,1,0,2026-08-04,0,1.023,100.0,0,Low
202508,50,0,0,0,0,1,1,0,2026-08-04,0,0.997,100.0,0,Low
202509,50,0,0,0,0,1,1,0,2026-08-04,0,1.016,100.0,0,Low
202510,50,0.4,0.4,3000,3000,1,1,0,2026-08-04,-0.0,0.994,100.0,0,Low
202511,50,11.2,11.3,107000,109000,2,2,0,2026-08-04,0.12,1.011,100.0,0,Low
202512,50,22.3,22.2,215000,214000,4,4,0,2026-08-04,-0.14,0.994,100.0,0,Low
202601,50,33.5,33.0,322000,318000,7,7,0,2026-08-05,-0.43,0.987,100.0,1,Low
202602,50,43.5,43.3,420000,417000,9,9,0,2026-08-04,-0.22,0.995,100.0,0,Low
202603,50,54.7,54.7,527000,527000,11,11,0,2026-08-04,0.03,1.001,100.0,0,Low
202604,50,65.5,64.4,631000,621000,13,13,0,2026-08-06,-1.07,0.984,100.0,2,Low
202605,50,76.6,75.4,739000,726000,15,15,0,2026-08-06,-1.26,0.984,100.0,2,Low
202606,50,87.4,88.7,843000,855000,17,17,0,2026-08-04,1.31,1.015,100.0,0,Low
202607,50,98.6,100,950000,970000,20,20,0,2026-08-04,1.44,1.021,100.0,0,Low
202608,50,100,100,964000,988000,20,20,0,2026-08-04,0,1.025,100.0,0,Low
202609,50,100,97.7,964000,942000,20,20,0,2026-08-06,-2.27,0.977,100.0,2,Low
202610,50,100,99.3,964000,957000,20,20,0,2026-08-04,-0.72,0.993,100.0,0,Low
202611,50,100,100,964000,974000,20,20,0,2026-08-04,0,1.011,100.0,0,Low
202612,50,100,98.6,964000,950000,20,20,0,2026-08-05,-1.44,0.986,100.0,1,Low
202501,51,0,0,0,0,1,1,0,2026-11-05,0,0.953,100.0,9,Low
202502,51,0,0,0,0,1,1,0,2026-11-06,0,0.949,100.0,10,Low
202503,51,0,0,0,0,1,1,0,2026-11-03,0,0.962,100.0,7,Low
202504,51,0,0,0,0,1,1,0,2026-11-03,0,0.961,100.0,7,Low
202505,51,0,0,0,0,1,1,0,2026-11-03,0,0.963,100.0,7,Low
202506,51,0,0,0,0,1,1,0,2026-11-05,0,0.952,100.0,9,Low
